State,Keyword,Match type,Status,Suggested bid (low)(USD),Suggested bid (median)(USD),Suggested bid (high)(USD),Estimated Impressions (low) From Suggested Bid (median),Estimated Impressions (high) From Suggested Bid (median),Keyword bid(USD),Top-of-search IS,Impressions,Clicks,CTR,Spend(USD),CPC(USD),Orders,Sales(USD),ACOS,KENP read,Estimated KENP royalties(USD)
ENABLED,parenting highly sensitive,BROAD,CAMPAIGN_PAUSED,0.47,0.55,0.61,,,0.65,,35,0,0,0.00,0.00,0,0.00,,0,0.00
ENABLED,protecting children's privacy online,BROAD,CAMPAIGN_PAUSED,,,,,,0.65,,0,0,,0.00,0.00,0,0.00,,0,0.00
ENABLED,ai education for parents and teachers,BROAD,CAMPAIGN_PAUSED,,,,,,0.65,,0,0,,0.00,0.00,0,0.00,,0,0.00
ENABLED,parenting gett,BROAD,CAMPAIGN_PAUSED,,,,,,0.65,,0,0,,0.00,0.00,0,0.00,,0,0.00
ENABLED,parenting map shefali,BROAD,CAMPAIGN_PAUSED,0.38,0.50,0.71,,,0.65,,154,1,0.0065,0.97,0.97,0,0.00,,0,0.00
ENABLED,parenting toddlers,BROAD,CAMPAIGN_PAUSED,0.41,0.54,0.68,,,0.65,,232,0,0,0.00,0.00,0,0.00,,0,0.00
ENABLED,parenting a child who has intense emotions,BROAD,CAMPAIGN_PAUSED,0.21,0.28,0.35,,,0.65,,6,0,0,0.00,0.00,0,0.00,,0,0.00
PAUSED,parenting challenge,BROAD,CAMPAIGN_PAUSED,0.30,0.41,0.51,,,0.65,,11,1,0.0909,0.90,0.90,0,0.00,,0,0.00
ENABLED,parenting in digital age,BROAD,CAMPAIGN_PAUSED,0.56,0.75,0.94,,,0.65,,7,0,0,0.00,0.00,0,0.00,,0,0.00
ENABLED,parenting is heart work,BROAD,CAMPAIGN_PAUSED,0.22,0.29,0.36,,,0.65,,13,0,0,0.00,0.00,0,0.00,,0,0.00
ENABLED,parenting from the inside out daniel siegel,BROAD,CAMPAIGN_PAUSED,0.54,0.70,0.81,,,0.65,,5,0,0,0.00,0.00,0,0.00,,0,0.00
ENABLED,child development books parents,BROAD,CAMPAIGN_PAUSED,0.62,0.83,1.04,,,0.65,,250,1,0.004,0.97,0.97,0,0.00,,0,0.00
ENABLED,parenting fr,BROAD,CAMPAIGN_PAUSED,,,,,,0.65,,0,0,,0.00,0.00,0,0.00,,0,0.00
ENABLED,parenting children with trauma,BROAD,CAMPAIGN_PAUSED,0.46,0.52,0.65,,,0.65,,3,0,0,0.00,0.00,0,0.00,,0,0.00
ENABLED,parenting isn't for cowards,BROAD,CAMPAIGN_PAUSED,0.36,0.48,0.70,,,0.65,,3,0,0,0.00,0.00,0,0.00,,0,0.00
ENABLED,parenting getting,BROAD,CAMPAIGN_PAUSED,0.47,0.63,0.79,,,0.65,,1,0,0,0.00,0.00,0,0.00,,0,0.00
ENABLED,parenting kids with adhd,BROAD,CAMPAIGN_PAUSED,0.76,1.01,1.26,,,0.65,,12,0,0,0.00,0.00,0,0.00,,0,0.00
ENABLED,parenting defiant child,BROAD,CAMPAIGN_PAUSED,0.36,0.47,0.55,,,0.65,,27,0,0,0.00,0.00,0,0.00,,0,0.00
ENABLED,parenting girls,BROAD,CAMPAIGN_PAUSED,0.64,0.85,1.06,,,0.65,,447,0,0,0.00,0.00,0,0.00,,0,0.00
ENABLED,parenting gospel,BROAD,CAMPAIGN_PAUSED,0.40,0.53,0.66,,,0.65,,41,0,0,0.00,0.00,0,0.00,,0,0.00
ENABLED,artificial intelligence for parents,BROAD,CAMPAIGN_PAUSED,,,,,,0.65,,0,0,,0.00,0.00,0,0.00,,0,0.00
ENABLED,parenting adult children,BROAD,CAMPAIGN_PAUSED,0.68,0.90,1.13,,,0.65,,193,0,0,0.00,0.00,0,0.00,,0,0.00
ENABLED,parenting guide,BROAD,CAMPAIGN_PAUSED,0.56,0.78,0.98,,,0.65,,148,0,0,0.00,0.00,0,0.00,,0,0.00
ENABLED,kids and ai technology,BROAD,CAMPAIGN_PAUSED,0.17,0.23,0.29,,,0.65,,0,0,,0.00,0.00,0,0.00,,0,0.00
ENABLED,parenting boys,BROAD,CAMPAIGN_PAUSED,0.62,0.87,1.14,,,0.65,,312,0,0,0.00,0.00,0,0.00,,0,0.00
ENABLED,parenting children with oppositional defiant disorder,BROAD,CAMPAIGN_PAUSED,0.27,0.36,0.45,,,0.65,,3,0,0,0.00,0.00,0,0.00,,0,0.00
ENABLED,parenting d,BROAD,CAMPAIGN_PAUSED,0.26,0.30,0.34,,,0.65,,1,0,0,0.00,0.00,0,0.00,,0,0.00
ENABLED,parenting with grace,BROAD,CAMPAIGN_PAUSED,0.52,0.70,0.88,,,0.65,,11,0,0,0.00,0.00,0,0.00,,0,0.00
ENABLED,top parenting books,BROAD,CAMPAIGN_PAUSED,0.23,0.31,0.39,,,0.65,,52,0,0,0.00,0.00,0,0.00,,0,0.00
ENABLED,parenting with presence,BROAD,CAMPAIGN_PAUSED,0.35,0.46,0.58,,,0.65,,73,0,0,0.00,0.00,0,0.00,,0,0.00
ENABLED,must read books about ai,BROAD,CAMPAIGN_PAUSED,,,,,,0.65,,0,0,,0.00,0.00,0,0.00,,0,0.00
ENABLED,advice for good parents,BROAD,CAMPAIGN_PAUSED,,,,,,0.65,,0,0,,0.00,0.00,0,0.00,,0,0.00
ENABLED,parenting fo,BROAD,CAMPAIGN_PAUSED,,,,,,0.65,,0,0,,0.00,0.00,0,0.00,,0,0.00
ENABLED,parenting is hard and then you die,BROAD,CAMPAIGN_PAUSED,0.26,0.35,0.44,,,0.65,,2,0,0,0.00,0.00,0,0.00,,0,0.00
ENABLED,parenting with love and,BROAD,CAMPAIGN_PAUSED,0.30,0.38,0.56,,,0.65,,9,0,0,0.00,0.00,0,0.00,,0,0.00
ENABLED,parenting free,BROAD,CAMPAIGN_PAUSED,0.72,0.96,1.20,,,0.65,,84,0,0,0.00,0.00,0,0.00,,0,0.00
ENABLED,parenting in the digital age,BROAD,CAMPAIGN_PAUSED,0.56,0.75,0.94,,,0.65,,0,0,,0.00,0.00,0,0.00,,0,0.00
ENABLED,parenting boo,BROAD,CAMPAIGN_PAUSED,,,,,,0.65,,1,0,0,0.00,0.00,0,0.00,,0,0.00
ENABLED,parenting de,BROAD,CAMPAIGN_PAUSED,0.29,0.38,0.48,,,0.65,,0,0,,0.00,0.00,0,0.00,,0,0.00
ENABLED,navigating ai with children,BROAD,CAMPAIGN_PAUSED,,,,,,0.65,,0,0,,0.00,0.00,0,0.00,,0,0.00
ENABLED,parenting kids with emotional and behavioral issues,BROAD,CAMPAIGN_PAUSED,,,,,,0.65,,5,0,0,0.00,0.00,0,0.00,,0,0.00
ENABLED,parenting get it right,BROAD,CAMPAIGN_PAUSED,0.25,0.33,0.41,,,0.65,,2,0,0,0.00,0.00,0,0.00,,0,0.00
ENABLED,parenting explosive children,BROAD,CAMPAIGN_PAUSED,0.24,0.32,0.40,,,0.65,,2,0,0,0.00,0.00,0,0.00,,0,0.00
ENABLED,parenting love and logic,BROAD,CAMPAIGN_PAUSED,0.22,0.30,0.38,,,0.65,,50,0,0,0.00,0.00,0,0.00,,0,0.00
ENABLED,parenting with,BROAD,CAMPAIGN_PAUSED,0.46,0.53,0.68,,,0.65,,427,0,0,0.00,0.00,0,0.00,,0,0.00
ENABLED,parenting children wit,BROAD,CAMPAIGN_PAUSED,,,,,,0.65,,0,0,,0.00,0.00,0,0.00,,0,0.00
ENABLED,modern parenting books,BROAD,CAMPAIGN_PAUSED,0.33,0.44,0.55,,,0.65,,0,0,,0.00,0.00,0,0.00,,0,0.00
PAUSED,parenting from the inside out,BROAD,CAMPAIGN_PAUSED,0.30,0.50,0.55,,,0.65,,203,1,0.0049,0.92,0.92,0,0.00,,0,0.00
ENABLED,parenting g,BROAD,CAMPAIGN_PAUSED,0.13,0.17,0.21,,,0.65,,3,0,0,0.00,0.00,0,0.00,,0,0.00
ENABLED,parenting,BROAD,CAMPAIGN_PAUSED,0.44,0.56,0.69,,,0.65,,0,0,,0.00,0.00,0,0.00,,0,0.00
ENABLED,parenting magazine,BROAD,CAMPAIGN_PAUSED,0.26,0.35,0.44,,,0.65,,28,0,0,0.00,0.00,0,0.00,,0,0.00
ENABLED,parenting books for new parents,BROAD,CAMPAIGN_PAUSED,0.60,0.80,1.00,,,0.65,,311,0,0,0.00,0.00,0,0.00,,0,0.00
ENABLED,parenting kids with odd,BROAD,CAMPAIGN_PAUSED,0.27,0.36,0.45,,,0.65,,2,0,0,0.00,0.00,0,0.00,,0,0.00
ENABLED,parenting from,BROAD,CAMPAIGN_PAUSED,0.39,0.52,0.65,,,0.65,,66,0,0,0.00,0.00,0,0.00,,0,0.00
ENABLED,parenting nature,BROAD,CAMPAIGN_PAUSED,0.45,0.60,0.75,,,0.65,,13,0,0,0.00,0.00,0,0.00,,0,0.00
ENABLED,parenting from the inside,BROAD,CAMPAIGN_PAUSED,0.30,0.50,0.55,,,0.65,,214,0,0,0.00,0.00,0,0.00,,0,0.00
ENABLED,parenting books unlimited,BROAD,CAMPAIGN_PAUSED,0.22,0.30,0.38,,,0.65,,0,0,,0.00,0.00,0,0.00,,0,0.00
ENABLED,parenting a,BROAD,CAMPAIGN_PAUSED,0.44,0.56,0.69,,,0.65,,2980,6,0.002,6.59,1.10,0,0.00,,0,0.00
ENABLED,parenting divorce,BROAD,CAMPAIGN_PAUSED,0.70,0.93,1.16,,,0.65,,27,0,0,0.00,0.00,0,0.00,,0,0.00
ENABLED,parenting without power struggle,BROAD,CAMPAIGN_PAUSED,0.41,0.54,0.68,,,0.65,,36,0,0,0.00,0.00,0,0.00,,0,0.00
PAUSED,simplicity parenting,BROAD,CAMPAIGN_PAUSED,0.20,0.27,0.34,,,0.65,,302,1,0.0033,0.90,0.90,0,0.00,,0,0.00
ENABLED,the parenting map,BROAD,CAMPAIGN_PAUSED,0.30,0.46,0.58,,,0.65,,303,0,0,0.00,0.00,0,0.00,,0,0.00
ENABLED,parenting childre,BROAD,CAMPAIGN_PAUSED,,,,,,0.65,,0,0,,0.00,0.00,0,0.00,,0,0.00
ENABLED,parenting devotional,BROAD,CAMPAIGN_PAUSED,0.20,0.26,0.33,,,0.65,,8,0,0,0.00,0.00,0,0.00,,0,0.00
ENABLED,parenting inside out,BROAD,CAMPAIGN_PAUSED,0.42,0.56,0.70,,,0.65,,15,0,0,0.00,0.00,0,0.00,,0,0.00
ENABLED,parenting unlimited,BROAD,CAMPAIGN_PAUSED,0.22,0.30,0.38,,,0.65,,3,0,0,0.00,0.00,0,0.00,,0,0.00
ENABLED,parenting with love and logic,BROAD,CAMPAIGN_PAUSED,0.30,0.38,0.56,,,0.65,,134,1,0.0075,0.93,0.93,0,0.00,,0,0.00
ENABLED,how to parent in the digital age,BROAD,CAMPAIGN_PAUSED,,,,,,0.65,,1,0,0,0.00,0.00,0,0.00,,0,0.00
ENABLED,parenting made complicated,BROAD,CAMPAIGN_PAUSED,,,,,,0.65,,1,0,0,0.00,0.00,0,0.00,,0,0.00
ENABLED,parenting books for moms,BROAD,CAMPAIGN_PAUSED,0.55,0.74,0.93,,,0.65,,266,0,0,0.00,0.00,0,0.00,,0,0.00
ENABLED,parenting david paul tripp,BROAD,CAMPAIGN_PAUSED,0.50,0.66,0.83,,,0.65,,0,0,,0.00,0.00,0,0.00,,0,0.00
ENABLED,parenting andy stanley,BROAD,CAMPAIGN_PAUSED,0.33,0.44,0.55,,,0.65,,147,0,0,0.00,0.00,0,0.00,,0,0.00
ENABLED,parenting getting it right,BROAD,CAMPAIGN_PAUSED,0.17,0.23,0.29,,,0.65,,55,0,0,0.00,0.00,0,0.00,,0,0.00
ENABLED,artificial intelligence children,BROAD,CAMPAIGN_PAUSED,0.55,0.74,0.93,,,0.80,,0,0,,0.00,0.00,0,0.00,,0,0.00
ENABLED,artificial intelligence children,PHRASE,CAMPAIGN_PAUSED,0.53,0.71,0.89,,,0.76,,0,0,,0.00,0.00,0,0.00,,0,0.00
ENABLED,artificial intelligence children,EXACT,CAMPAIGN_PAUSED,0.52,0.69,0.86,,,0.66,,0,0,,0.00,0.00,0,0.00,,0,0.00
